document,page,matched_term,section_context
ind_prs20082020.pdf,5,Nifty 500,The following companies are being included: Sr. No. Company Name Symbol 1 Adani Green Energy Ltd. AD
ind_prs20102022_1.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, October 20, 2022 Replacements in indices The Index Maintenance Sub-Committee ("
ind_prs21022023.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, February 21, 2023 Replacements in indices The Index Maintenance Sub-Committee "
ind_prs21022025.pdf,2,Nifty 500,b) Nifty 500 The following companies are being excluded: Sr. No. Company Name Symbol 1 Archean Chemi
ind_prs21022025.pdf,3,Nifty 500,The following companies are being included: Sr. No. Company Name Symbol 1 ACME Solar Holdings Ltd. A
ind_prs21022025.pdf,37,Nifty 500,r) Nifty Services Sector The following company is being excluded: Sr. No. Company Name Symbol 1 Adan
ind_prs21022025.pdf,38,Nifty 500,The following companies are being included: Sr. No. Company Name Symbol 1 Bharat Heavy Electricals L
ind_prs21042025_1.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, April 21, 2025 Replacements in indices The Index Maintenance Sub-Committee (Eq"
ind_prs21062024_1.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, June 21, 2024 Replacement in indices The Index Maintenance Sub-Committee (Equi"
ind_prs22022016_1.pdf,1,Nifty 500,"Date: February 22, 2016 PRESS RELEASE New Structure for Nifty Broad Market Indices Mumbai: India Ind"
ind_prs22022016_1.pdf,2,Nifty 500,rebranding of existing Nifty Midcap 100 and Nifty Smallcap 100 indices. These indices will be publis
ind_prs22042021.pdf,1,Nifty 500,"Press Release April 22, 2021 Replacements in Indices The Index Maintenance Sub-Committee (Equity) of"
ind_prs22052024.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, May 22, 2024 Replacements in indices The Index Maintenance Sub-Committee (Equi"
ind_prs22082017.pdf,3,Nifty 500,2. Eligible universe for selection of stocks: Index Existing Criteria Revised Criteria Thematic Indi
ind_prs22082025.pdf,2,Nifty 500,2) Nifty 500 The following companies are being excluded: Sr. No. Company Name Symbol 1 Alivus Life S
ind_prs22082025.pdf,3,Nifty 500,Sr. No. Company Name Symbol 12 Maharashtra Scooters Ltd. MAHSCOOTER 13 Nuvoco Vistas Corporation Ltd
ind_prs22082025.pdf,21,Nifty 500,The following company is being included: Sr. No. Company Name Symbol 1 Piramal Pharma Ltd. PPLPHARMA
ind_prs22082025.pdf,30,Nifty 500,18) Nifty500 Multicap India Manufacturing 50:30:20 The following companies are being excluded: Sr. N
ind_prs22082025_1.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, August 22, 2025 Replacements in indices The Index Maintenance Sub-Committee (E"
ind_prs22102021.pdf,3,Nifty 500,1) NIFTY 500 The following company is being excluded: Sr. No. Company Name Symbol 1 GMR Infrastructu
ind_prs22112024.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, November 22, 2024 Replacements in indices The Index Maintenance Sub-Committee "
ind_prs22122022.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, December 22, 2022 Replacements in indices The Index Maintenance Sub-Committee "
ind_prs22122022.pdf,2,Nifty 500,2) Nifty Smallcap 250 The following company is being excluded: Sr. No. Company Name Symbol 1 Saregam
ind_prs22122022.pdf,3,Nifty 500,5) Nifty Total Market The following companies are being excluded: Sr. No. Company Name Symbol 1 Sare
ind_prs23022021.pdf,2,Nifty 500,Sr. No. Company Name Symbol 6 Vedanta Ltd. VEDL 7 Yes Bank Ltd. YESBANK 3) NIFTY 500 The following c
ind_prs23022021.pdf,3,Nifty 500,Sr. No. Company Name Symbol 8 Intellect Design Arena Ltd. INTELLECT 9 K.P.R. Mill Ltd. KPRMILL 10 KP
ind_prs23022021_1.pdf,2,Nifty 500,"4 quarters (standalone (consolidated financials). financials). In case, consolidated financials are "
ind_prs23022026.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, February 23, 2026 Replacements in indices The Index Maintenance Sub-Committee "
ind_prs23022026.pdf,3,Nifty 500,Sr. No. Company Name Symbol 21 Physicswallah Ltd. PWL 22 Pine Labs Ltd. PINELABS 23 Piramal Finance 
ind_prs23022026.pdf,29,Nifty 500,2) Nifty Financial Services The following company is being excluded: Sr. No. Company Name Symbol 1 I
ind_prs23022026.pdf,38,Nifty 500,The following companies are being included: Sr. No. Company Name Symbol 1 L&T Finance Ltd. LTF 2 Pir
ind_prs23022026.pdf,39,Nifty 500,The following companies are being included: Sr. No. Company Name Symbol 1 Asahi India Glass Ltd. ASA
ind_prs23032020.pdf,1,Nifty 500,"Press Release Deferment of Index Rebalancing March 23, 2020 The Index Maintenance Sub-Committee (IMS"
ind_prs23042026.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, April 23, 2026 Corporate Action Adjustment for Vedanta Ltd. and Replacement in"
ind_prs23042026.pdf,2,Nifty 500,Sr. No. Index Name 18 Nifty Dividend Opportunities 50 19 Nifty Alpha 50 20 Nifty High Beta 50 21 Nif
ind_prs23082022.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, August 23, 2022 Replacements in indices The Index Maintenance Sub-Committee (E"
ind_prs23082023.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, August 23, 2023 Replacements in indices The Index Maintenance Sub-Committee (E"
ind_prs23082024.pdf,3,Nifty 500,c) Nifty 500 The following companies are being excluded: Sr. No. Company Name Symbol 1 Aether Indust
ind_prs23082024.pdf,4,Nifty 500,Sr. No. Company Name Symbol 3 Anant Raj Ltd. ANANTRAJ 4 BASF India Ltd. BASF 5 Bharti Hexacom Ltd. B
ind_prs23082024.pdf,32,Nifty 500,p) Nifty Rural The following companies are being excluded: Sr. No. Company Name Symbol 1 Adani Wilma
ind_prs23082024.pdf,33,Nifty 500,Sr. No. Company Name Symbol 3 Hindustan Aeronautics Ltd. HAL 4 Kajaria Ceramics Ltd. KAJARIACER 5 SR
ind_prs23082024_1.pdf,1,Nifty 500,"PRESS RELEASE Mumbai, August 23, 2024 Replacements in indices The Index Maintenance Sub-Committee (E"
ind_prs23082024_1.pdf,2,Nifty 500,"2024 (close of August 29, 2024) and shall be reflected in the indices that are computed based on mar"
ind_prs23092024.pdf,5,Nifty 500,DCM Shriram Ltd. DCMSHRIRAM Exclusion revoked Lakshmi Machine Works Ltd. LAXMIMACH Inclusion This pr
ind_prs24022022_1.pdf,3,Nifty 500,3) NIFTY 500 The following companies are being excluded: Sr. No. Company Name Symbol 1 Alembic Ltd. 
ind_prs24022022_1.pdf,4,Nifty 500,The following companies are being included: Sr. No. Company Name Symbol 1 Aditya Birla Sun Life AMC 
ind_prs24042024.pdf,2,Nifty 500,3) Nifty500 Value 50 The following company is being excluded: Sr. No. Company Name Symbol 1 Brightco
